0.78603	-0.587438	0.19255	0.604647	0.795404	-0.0416517	-0.128687	0.149164	0.980401	281.848	-166.599	731.918	
0.773834	-0.592457	0.224003	0.616944	0.785095	-0.0548056	-0.143393	0.180607	0.973045	266.356	-171.981	741.697	
0.76223	-0.583208	0.280851	0.627927	0.771561	-0.101986	-0.157214	0.25409	0.954316	247.049	-175.465	749.585	
0.734347	-0.587013	0.340811	0.653246	0.747594	-0.119891	-0.18441	0.310674	0.932454	224.62	-175.48	756.105	
0.712419	-0.581197	0.393286	0.677634	0.715422	-0.17025	-0.182417	0.387791	0.903515	199.455	-172.414	762.317	
0.67591	-0.588773	0.443279	0.714917	0.669899	-0.200325	-0.179006	0.452308	0.873712	170.257	-166.992	767.62	
0.635277	-0.598597	0.487964	0.75025	0.628212	-0.2061	-0.183174	0.497024	0.848181	136.681	-157.848	770.955	
0.57526	-0.560245	0.595991	0.793282	0.55978	-0.239481	-0.199457	0.610551	0.766446	99.8938	-147.266	772.874	
0.517372	-0.534812	0.668061	0.832202	0.496351	-0.247135	-0.199423	0.683821	0.701865	61.6488	-136.697	771.502	
0.449363	-0.499951	0.740355	0.863025	0.457037	-0.215186	-0.230788	0.73564	0.636841	22.7141	-126.213	764.934	
0.382191	-0.476197	0.79194	0.888649	0.424447	-0.173638	-0.25345	0.770117	0.585386	-15.6184	-116.123	754.96	
0.296021	-0.450044	0.842517	0.911417	0.397019	-0.108151	-0.285821	0.799897	0.527699	-55.2575	-106.6	740.054	
0.216619	-0.409481	0.886231	0.921662	0.385097	-0.047343	-0.321896	0.827058	0.460818	-93.662	-98.3953	720.545	
0.133152	-0.346049	0.928722	0.918774	0.394489	0.0152659	-0.371651	0.85125	0.370464	-129.489	-92.0821	696.959	
0.0438616	-0.239847	0.969821	0.915359	0.398561	0.0571728	-0.400244	0.885223	0.237025	-164.358	-87.2142	673.014	
-0.0538432	-0.104955	0.99302	0.894823	0.436277	0.0946329	-0.443162	0.893669	0.0704234	-195.242	-84.793	646.812	
-0.155669	0.0429545	0.986876	0.863191	0.491664	0.114762	-0.48028	0.869725	-0.113616	-222.116	-84.7154	618.663	
-0.269753	0.210484	0.939644	0.830252	0.545134	0.116239	-0.487764	0.811494	-0.321808	-245.998	-85.6185	592.338	
